epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.576,0.862,3.23456,1.22439,0.53295,0.43503,0.31508,0.27087,0.57059,1.35668,1.04447,0.00333016,0.00333016,0.00333016
2,619.669,0.66455,1.4702,1.05193,0.78643,0.59766,0.62965,0.55798,0.52276,0.69576,0.99732,0.00653156,0.00653156,0.00653156
3,917.646,0.66179,1.23066,1.04895,0.83678,0.56042,0.6482,0.56946,0.5304,0.69134,1.00161,0.00960095,0.00960095,0.00960095
4,1212.77,0.63307,1.09053,1.03602,0.77292,0.71624,0.71184,0.63641,0.50578,0.41603,0.96965,0.009406,0.009406,0.009406
5,1506.28,0.58587,0.91764,1.0181,0.82084,0.74091,0.76587,0.68341,0.53004,0.36615,0.99032,0.009208,0.009208,0.009208
6,1797.26,0.55257,0.83102,1.0048,0.81691,0.7685,0.76374,0.71045,0.4032,0.31199,0.90776,0.00901,0.00901,0.00901
7,2092.61,0.53015,0.78199,0.99547,0.80574,0.78409,0.81861,0.75624,0.41366,0.28968,0.90066,0.008812,0.008812,0.008812
8,2385.48,0.51178,0.74433,0.98982,0.79562,0.80422,0.80564,0.75799,0.37276,0.2752,0.87771,0.008614,0.008614,0.008614
9,2682.36,0.50159,0.72341,0.98633,0.8636,0.77608,0.83869,0.79296,0.35663,0.24691,0.86819,0.008416,0.008416,0.008416
10,2978.84,0.49175,0.6982,0.98146,0.81683,0.86603,0.85742,0.8026,0.40026,0.24322,0.88141,0.008218,0.008218,0.008218
11,3276.53,0.48316,0.68351,0.97908,0.88421,0.82569,0.87286,0.83604,0.34064,0.22547,0.86002,0.00802,0.00802,0.00802
12,3581.8,0.47616,0.6708,0.97559,0.87465,0.83271,0.86351,0.82377,0.34524,0.21437,0.85729,0.007822,0.007822,0.007822
13,3884.94,0.46781,0.65672,0.97319,0.84141,0.88423,0.8823,0.84409,0.34454,0.21322,0.85248,0.007624,0.007624,0.007624
14,4183.6,0.4639,0.6438,0.97158,0.87714,0.85968,0.89132,0.85104,0.34017,0.19066,0.85297,0.007426,0.007426,0.007426
15,4485.67,0.45628,0.63118,0.96853,0.86514,0.88664,0.89932,0.85862,0.33335,0.18294,0.8501,0.007228,0.007228,0.007228
16,4784.72,0.45122,0.62054,0.96851,0.86821,0.85921,0.8901,0.85386,0.32252,0.18003,0.8499,0.00703,0.00703,0.00703
17,5084.28,0.44691,0.60809,0.966,0.90388,0.8538,0.89923,0.86663,0.31281,0.17096,0.84379,0.006832,0.006832,0.006832
18,5385.97,0.44437,0.60337,0.96504,0.90169,0.87089,0.89985,0.86743,0.31525,0.17104,0.84286,0.006634,0.006634,0.006634
19,5687.45,0.43762,0.59361,0.96282,0.93006,0.8837,0.91055,0.87466,0.31398,0.16345,0.84085,0.006436,0.006436,0.006436
20,5987.58,0.43455,0.5897,0.96264,0.925,0.88836,0.93469,0.90137,0.31133,0.16038,0.83905,0.006238,0.006238,0.006238
21,6300.31,0.43043,0.5756,0.96048,0.89907,0.92303,0.93224,0.89996,0.30916,0.15557,0.83884,0.00604,0.00604,0.00604
22,6598.92,0.42775,0.5701,0.95958,0.92425,0.89944,0.94448,0.91151,0.30708,0.15313,0.8373,0.005842,0.005842,0.005842
23,6899.4,0.42103,0.55746,0.95723,0.90924,0.90928,0.9377,0.90691,0.30421,0.1524,0.83719,0.005644,0.005644,0.005644
24,7203.29,0.41792,0.55618,0.95683,0.92584,0.90134,0.92639,0.89537,0.30541,0.1547,0.83771,0.005446,0.005446,0.005446
25,7508.6,0.41733,0.54997,0.95594,0.92946,0.90123,0.93136,0.90145,0.30129,0.14923,0.83595,0.005248,0.005248,0.005248
26,7810.43,0.41242,0.5407,0.9545,0.93265,0.90464,0.94065,0.91283,0.2987,0.14428,0.83464,0.00505,0.00505,0.00505
27,8109.1,0.40733,0.53586,0.95354,0.91419,0.92583,0.94386,0.91726,0.29556,0.14232,0.83414,0.004852,0.004852,0.004852
28,8411.54,0.40498,0.5286,0.95307,0.91646,0.92607,0.95265,0.92609,0.29455,0.1404,0.83345,0.004654,0.004654,0.004654
